Indeks_Alibaca	IPM	Universitas_Negeri	Universitas_Swasta	Univ	Jumlah_Perpustakaan
34,37	71,9	7	89	96	5442
35,73	71,74	3	211	214	11629
38,57	72,39	5	87	92	5732
38,71	73	2	81	83	1900
37,32	71,26	1	40	41	4276
36,06	70,02	2	99	101	3995
37,41	71,21	2	15	17	1317
30,59	69,57	3	71	74	5412
41,97	71,3	2	14	16	1307
54,76	75,48	2	32	34	774
58,16	80,76	4	272	276	2103
39,47	72,03	12	376	388	22122
33,3	71,73	9	241	250	22028
56,2	79,99	5	104	109	3365
33,19	71,5	17	324	341	17450
40,81	72,44	2	111	113	7808
44,58	75,38	4	56	60	2163
33,64	68,14	1	54	55	5766
29,83	65,23	4	61	65	4813
28,63	67,65	4	46	50	3279
33,86	70,91	1	23	24	1623
37	70,72	3	46	49	3843
46,01	76,61	5	49	54	3025
42,86	71,15	2	8	10	236
40,2	72,99	4	47	51	3000
31,55	69,5	1	36	37	2032
38,82	71,66	5	187	192	9037
34,37	71,2	2	51	53	2286
34,99	68,49	1	11	12	1224
32,92	65,73	1	19	20	1614
33,52	69,45	3	30	33	2411
31,33	68,7	1	18	19	700
28,25	64,7	2	20	22	406
19,9	60,84	3	53	56	322
