No	Provinsi	Indeks_Alibaca	Ipm  Universitas_Negeri	Universitas_Swasta	Univ	Jumlah_Perpustakaan
1	Aceh	34,37	71,9	7	89	96	5442
2	Sumatera_Utara	35,73	71,74	3	211	214	11629
3	Sumatera_Barat	38,57	72,39	5	87	92	5732
4	Riau	38,71	73	2	81	83	1900
5	Jambi	37,32	71,26	1	40	41	4276
6	Sumatera_Selatan	36,06	70,02	2	99	101	3995
7	Bengkulu	37,41	71,21	2	15	17	1317
8	lampung	30,59	69,57	3	71	74	5412
9	Kepulauan_Bangka_Belitung	41,97	71,3	2	14	16	1307
10	Kepulauan_Riau	54,76	75,48	2	32	34	774
11	DKI_Jakarta	58,16	80,76	4	272	276	2103
12	Jawa_Barat	39,47	72,03	12	376	388	22122
13	Jawa_Tengah	33,3	71,73	9	241	250	22028
14	DI_Yogyakarta	56,2	79,99	5	104	109	3365
15	Jawa_Timur	33,19	71,5	17	324	341	17450
16	Banten	40,81	72,44	2	111	113	7808
17	Bali	44,58	75,38	4	56	60	2163
18	NTB	33,64	68,14	1	54	55	5766
19	NTT	29,83	65,23	4	61	65	4813
20	Kalimantan_Barat	28,63	67,65	4	46	50	3279
21	Kalimantan_Tengah	33,86	70,91	1	23	24	1623
22	Kalimantan_Selatan	37	70,72	3	46	49	3843
23	Kalimantan_Timur	46,01	76,61	5	49	54	3025
24	Kalimantan_Utara	42,86	71,15	2	8	10	236
25	Sulawesi_Utara	40,2	72,99	4	47	51	3000
26	Sulawesi_Tengah	31,55	69,5	1	36	37	2032
27	Sulawesi_Selatan	38,82	71,66	5	187	192	9037
28	Sulawesi_Tenggara	34,37	71,2	2	51	53	2286
29	Gorontalo	34,99	68,49	1	11	12	1224
30	Sulawesi_Barat	32,92	65,73	1	19	20	1614
31	Maluku	33,52	69,45	3	30	33	2411
32	Maluku_Utara	31,33	68,7	1	18	19	700
33	Papua_Barat	28,25	64,7	2	20	22	406
34	Papua	19,9	60,84	3	53	56	322
